thread_num, created_duration, insert_duration, total_time
1, 0.179000, 90.330002, 90.509003
2, 0.107000, 43.060001, 43.167000
3, 0.108000, 28.747999, 28.855999
4, 0.124000, 23.507999, 23.632000
5, 0.112000, 25.466000, 25.577999
6, 0.110000, 19.254999, 19.365000
7, 0.113000, 17.902000, 18.015001
8, 0.109000, 16.575001, 16.684000
9, 0.108000, 16.638000, 16.746000
10, 0.114000, 17.565001, 17.679001
11, 0.114000, 16.319000, 16.433001
12, 0.109000, 17.287001, 17.396000
13, 0.111000, 16.658001, 16.769001
14, 0.124000, 16.591000, 16.715000
15, 0.113000, 16.541000, 16.654001
16, 0.120000, 16.268000, 16.388000
17, 0.122000, 16.275999, 16.397999
18, 0.110000, 16.396999, 16.507000
19, 0.111000, 16.370001, 16.481001
20, 0.111000, 16.985001, 17.096001
21, 0.123000, 17.073000, 17.195999
22, 0.109000, 19.613001, 19.722000
23, 0.107000, 16.028999, 16.136000
24, 0.109000, 16.138000, 16.247000
25, 0.110000, 18.004000, 18.114000
26, 0.121000, 16.024000, 16.145000
27, 0.122000, 16.073999, 16.195999
28, 0.110000, 16.041000, 16.151001
29, 0.109000, 16.823000, 16.931999
30, 0.109000, 16.195000, 16.303999
31, 0.111000, 16.775000, 16.886000
32, 0.110000, 16.115999, 16.226000
